artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
Cher,0.523,0.763,0.48,135.898,0.149,0.118,0.0,0.588,0.0,0.058,4,Brazilian Beat,81.1
Chet Singh,0.822,0.449,0.382,90.023,0.28,0.034,0.0,0.098,0.0,1.0,3,Asian Acoustic,
Chez Tropics,0.836,0.813,0.576,118.001,0.0,0.044,0.639,0.035,0.0,0.0,2,Latin Groove,
Chezile,0.531,0.556,0.156,138.978,0.407,0.025,0.009,0.318,0.0,1.0,3,Asian Acoustic,85.8
Cheztom,0.898,0.719,0.863,97.029,0.121,0.1,0.0,0.14,0.0,0.0,2,Latin Groove,
Chi Pu,0.685,0.656,0.387,97.013,0.63,0.033,0.0,0.175,0.0,0.0,3,Asian Acoustic,
ChiChi Peralta,0.805,0.757,0.973,102.14,0.279,0.036,0.001,0.101,0.0,1.0,0,High Energy Pop,
Chiara Oliver,0.362,0.413,0.499,62.874,0.55,0.036,0.0,0.101,0.0,1.0,3,Asian Acoustic,
Chicho Castro y Sus Alia2,0.834,0.676,0.935,131.15,0.66,0.032,0.004,0.107,0.0,1.0,0,High Energy Pop,
Chicho Severino,0.792,0.521,0.895,130.297,0.769,0.045,0.081,0.122,0.0,0.0,0,High Energy Pop,53.0
Chico,0.842,0.899,0.857,124.645,0.029,0.199,0.0,0.283,0.0,0.822,4,Brazilian Beat,
Chico Beatz,0.715,0.682,0.666,141.98,0.487,0.234,0.0,0.105,0.0,0.0,0,High Energy Pop,
Chief Keef,0.602,0.732,0.291,126.555,0.028,0.059,0.0,0.134,1.0,0.0,2,Latin Groove,
Chike,0.788,0.707,0.669,117.916,0.31,0.058,0.001,0.124,0.0,0.668,0,High Energy Pop,
Chiko,0.699,0.677,0.841,93.817,0.125,0.329,0.0,0.096,1.0,0.0,2,Latin Groove,
Chiko Alfa,0.771,0.475,0.66,128.064,0.33,0.147,0.0,0.102,1.0,0.0,2,Latin Groove,
Childish Gambino,0.691,0.479,0.279,118.406,0.125,0.05,0.0,0.131,1.0,0.194,2,Latin Groove,67.8
Chillies,0.663,0.529,0.643,90.956,0.686,0.042,0.0,0.354,0.0,1.0,4,Brazilian Beat,
Chillin,0.687,0.587,0.278,161.947,0.024,0.148,0.0,0.134,1.0,0.897,1,Pop Mainstream,29.2
Chimbala,0.863,0.803,0.857,131.589,0.183,0.147,0.017,0.165,0.373,0.567,0,High Energy Pop,69.6
Chinaski,0.607,0.853,0.544,126.476,0.017,0.038,0.0,0.085,0.0,1.0,1,Pop Mainstream,52.5
Chinmayi,0.694,0.744,0.876,107.992,0.472,0.037,0.0,0.137,0.0,1.0,0,High Energy Pop,
Chino Pacas,0.793,0.828,0.862,124.482,0.221,0.043,0.0,0.138,0.945,0.117,0,High Energy Pop,82.4
Chip,0.758,0.766,0.741,112.116,0.442,0.076,0.002,0.122,0.0,1.0,0,High Energy Pop,
Chiquito Team Band,0.661,0.546,0.9,165.289,0.385,0.06,0.0,0.098,0.0,0.923,0,High Energy Pop,52.5
Chirag,0.658,0.45,0.633,134.853,0.68,0.146,0.0,0.304,0.25,1.0,4,Brazilian Beat,
Chiru!,0.752,0.514,0.376,134.709,0.503,0.195,0.0,0.665,0.0,0.667,4,Brazilian Beat,
Chivas,0.593,0.752,0.662,120.792,0.234,0.099,0.002,0.348,0.522,0.632,4,Brazilian Beat,64.5
Chivv,0.756,0.713,0.627,136.697,0.02,0.133,0.0,0.28,0.0,0.0,4,Brazilian Beat,
Chley,0.9,0.477,0.517,112.658,0.02,0.081,0.009,0.075,0.0,0.0,2,Latin Groove,
Chlöe,0.747,0.388,0.501,93.967,0.492,0.065,0.003,0.111,0.0,0.0,3,Asian Acoustic,
Chocolate - t,0.799,0.732,0.544,129.989,0.622,0.166,0.0,0.256,0.0,0.0,4,Brazilian Beat,
Chocoleyrol,0.713,0.632,0.812,94.136,0.37,0.404,0.0,0.22,0.431,0.397,2,Latin Groove,
Choir,0.739,0.584,0.753,120.522,0.631,0.076,0.0,0.285,0.0,1.0,4,Brazilian Beat,
Choirboys,0.698,0.644,0.751,138.871,0.232,0.043,0.021,0.038,0.0,1.0,1,Pop Mainstream,43.0
Chop Sue,0.466,0.517,0.283,78.607,0.73,0.314,0.0,0.172,1.0,1.0,3,Asian Acoustic,48.0
Chris Abolade,0.708,0.775,0.477,127.601,0.077,0.206,0.002,0.202,0.915,0.183,2,Latin Groove,31.5
Chris Brown,0.5,0.568,0.221,143.302,0.18,0.059,0.0,0.165,0.72,0.166,3,Asian Acoustic,81.6
Chris Clark,0.596,0.312,0.392,179.873,0.459,0.044,0.0,0.074,0.0,1.0,3,Asian Acoustic,25.0
Chris Hawks,0.467,0.776,0.507,172.16,0.305,0.038,0.0,0.072,0.0,1.0,1,Pop Mainstream,34.0
Chris Holsten,0.634,0.47,0.571,133.371,0.47,0.035,0.0,0.112,0.0,0.98,3,Asian Acoustic,60.8
Chris Jedi,0.797,0.785,0.852,140.887,0.205,0.079,0.0,0.162,0.316,0.819,0,High Energy Pop,
Chris Jonex,0.756,0.752,0.731,111.756,0.328,0.132,0.0,0.142,0.0,0.042,0,High Energy Pop,
Chris Lebron,0.726,0.666,0.509,165.921,0.261,0.205,0.0,0.081,0.0,0.0,0,High Energy Pop,68.3
Chris Martin,0.667,0.747,0.918,86.917,0.337,0.189,0.0,0.115,1.0,1.0,2,Latin Groove,
Chris Noah,0.553,0.724,0.58,106.003,0.06,0.027,0.0,0.083,0.0,0.0,0,High Energy Pop,34.2
Chris Rea,0.573,0.664,0.882,90.11,0.489,0.035,0.0,0.288,0.0,1.0,4,Brazilian Beat,74.2
Chris Stapleton,0.47,0.466,0.515,73.327,0.201,0.033,0.053,0.123,0.049,0.857,3,Asian Acoustic,81.8
Chris Tamayo,0.644,0.83,0.644,138.085,0.405,0.036,0.0,0.15,0.0,0.0,0,High Energy Pop,
Chris de Sarandy,0.69,0.84,0.493,129.935,0.027,0.057,0.0,0.363,0.0,1.0,4,Brazilian Beat,
Chris van Dutch,0.614,0.896,0.676,165.026,0.015,0.079,0.001,0.099,0.0,0.0,0,High Energy Pop,
