artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
Jessica Pratt,0.61,0.682,0.694,142.966,0.318,0.123,0.0,0.321,1.0,1.0,4,Brazilian Beat,
Jessica Shy,0.786,0.672,0.653,115.638,0.322,0.037,0.001,0.172,0.0,0.392,0,High Energy Pop,49.6
Jessie Murph,0.64,0.672,0.315,134.835,0.246,0.038,0.0,0.1,0.224,1.0,1,Pop Mainstream,87.1
Jessie Reyez,0.662,0.522,0.28,145.976,0.116,0.066,0.0,0.415,1.0,0.0,4,Brazilian Beat,
Jessy Angeles,0.808,0.909,0.975,125.019,0.256,0.044,0.0,0.092,0.0,0.0,0,High Energy Pop,
Jevin Gill,0.594,0.58,0.357,84.487,0.436,0.381,0.0,0.129,1.0,0.0,2,Latin Groove,
Jex,0.645,0.731,0.672,127.929,0.192,0.051,0.0,0.271,0.0,0.0,0,High Energy Pop,
Jey F,0.737,0.755,0.931,98.569,0.154,0.207,0.0,0.124,0.048,1.0,0,High Energy Pop,
Jey Joe,0.623,0.802,0.927,119.723,0.153,0.111,0.0,0.143,1.0,0.0,0,High Energy Pop,
Jey One,0.731,0.696,0.73,114.43,0.165,0.44,0.008,0.223,0.636,0.899,2,Latin Groove,62.2
JeyD SNL,0.861,0.795,0.547,107.046,0.162,0.058,0.002,0.162,1.0,1.0,2,Latin Groove,51.0
JeyJenm,0.735,0.759,0.521,96.9,0.021,0.186,0.0,0.374,0.625,0.375,4,Brazilian Beat,
JeycitoLM,0.739,0.912,0.62,95.234,0.316,0.434,0.0,0.064,0.0,1.0,2,Latin Groove,
Jeyson,0.762,0.575,0.751,112.67,0.094,0.402,0.0,0.124,1.0,1.0,2,Latin Groove,
Jezzy,0.672,0.837,0.818,138.534,0.053,0.268,0.006,0.308,0.453,0.0,4,Brazilian Beat,
Jhay Dohmie,0.832,0.61,0.368,102.113,0.41,0.31,0.015,0.172,0.5,0.5,2,Latin Groove,2.0
Jhay Foreign,0.793,0.788,0.558,99.013,0.136,0.11,0.0,0.339,1.0,0.0,4,Brazilian Beat,
Jhay P,0.778,0.705,0.591,90.964,0.125,0.065,0.0,0.081,1.0,0.0,2,Latin Groove,
Jhay Wallace,0.882,0.61,0.611,99.959,0.732,0.221,0.028,0.086,0.0,0.0,2,Latin Groove,
Jhayco,0.762,0.683,0.41,142.617,0.245,0.104,0.0,0.294,0.99,0.538,4,Brazilian Beat,89.9
Jhayseven,0.6,0.884,0.966,95.588,0.179,0.499,0.0,0.059,1.0,1.0,2,Latin Groove,57.3
Jhaytea,0.922,0.731,0.835,105.087,0.018,0.217,0.0,0.626,1.0,1.0,4,Brazilian Beat,
Jhen,0.8,0.898,0.422,97.99,0.321,0.109,0.0,0.121,0.0,1.0,2,Latin Groove,
Jhen F,0.752,0.773,0.58,87.002,0.285,0.099,0.0,0.175,0.0,0.0,2,Latin Groove,
Jhené Aiko,0.766,0.694,0.212,142.038,0.08,0.043,0.008,0.09,1.0,1.0,1,Pop Mainstream,
Jheral,0.776,0.954,0.82,125.011,0.152,0.138,0.0,0.098,1.0,1.0,0,High Energy Pop,
Jhonathan Chávez y Los Triunfadores,0.629,0.842,0.664,99.056,0.056,0.062,0.0,0.061,0.0,0.0,0,High Energy Pop,45.0
Jhonny Rivera,0.783,0.819,0.87,100.014,0.39,0.088,0.0,0.257,0.0,0.0,4,Brazilian Beat,
Jhonny y Su Agrupación Claros,0.597,0.854,0.72,144.04,0.238,0.061,0.0,0.227,0.0,1.0,0,High Energy Pop,
Jhosse Lora,0.877,0.659,0.921,97.216,0.218,0.04,0.331,0.394,0.0,0.0,4,Brazilian Beat,45.0
Jhow Dancer,0.809,0.869,0.738,126.981,0.104,0.094,0.0,0.13,1.0,1.0,0,High Energy Pop,
Jiandro,0.953,0.597,0.376,125.165,0.47,0.364,0.003,0.076,0.0,1.0,2,Latin Groove,
Jim Legxacy,0.765,0.468,0.347,127.984,0.818,0.328,0.007,0.109,0.0,0.0,3,Asian Acoustic,
Jimbo J,0.671,0.724,0.941,167.998,0.588,0.088,0.0,0.47,1.0,1.0,4,Brazilian Beat,
Jimilian,0.642,0.841,0.638,129.766,0.004,0.051,0.0,0.169,0.0,0.0,0,High Energy Pop,17.0
Jimin,0.653,0.731,0.636,110.559,0.074,0.048,0.024,0.2,0.034,0.338,0,High Energy Pop,85.0
Jimmy De Ville,0.839,0.263,0.3,130.03,0.055,0.068,0.917,0.112,0.0,0.0,2,Latin Groove,
Jimmy Maradona,0.821,0.45,0.158,111.999,0.002,0.076,0.12,0.059,0.0,1.0,3,Asian Acoustic,
Jimmy Torrio,0.718,0.66,0.605,164.836,0.313,0.374,0.0,0.099,1.0,0.0,2,Latin Groove,
Jin,0.542,0.691,0.477,136.753,0.125,0.04,0.005,0.144,0.0,0.916,1,Pop Mainstream,78.5
Jinger Stone,0.847,0.626,0.476,111.178,0.068,0.069,0.246,0.096,0.0,0.818,2,Latin Groove,
Jinho 9,0.84,0.716,0.661,103.026,0.116,0.205,0.0,0.088,1.0,1.0,2,Latin Groove,
Jireel,0.711,0.638,0.404,113.013,0.321,0.082,0.033,0.151,0.741,0.674,2,Latin Groove,54.4
Jirí Malát,0.764,0.361,0.783,119.62,0.507,0.041,0.0,0.106,0.0,1.0,1,Pop Mainstream,
Jithin Raj,0.661,0.395,0.233,100.016,0.69,0.024,0.0,0.345,0.0,1.0,3,Asian Acoustic,61.8
Jiyo,0.847,0.638,0.841,112.703,0.257,0.208,0.0,0.123,1.0,0.0,2,Latin Groove,
Jliany,0.685,0.792,0.504,105.121,0.711,0.051,0.001,0.106,0.0,1.0,3,Asian Acoustic,
Jmi Ko,0.64,0.612,0.224,89.962,0.213,0.058,0.0,0.077,0.0,1.0,3,Asian Acoustic,
Jmp la Mente,0.787,0.918,0.942,127.88,0.144,0.216,0.0,0.268,1.0,1.0,4,Brazilian Beat,
Jo Lids,0.747,0.587,0.552,92.951,0.255,0.183,0.0,0.13,0.0,0.0,2,Latin Groove,
JoBlaq,0.857,0.823,0.625,111.973,0.103,0.037,0.004,0.133,1.0,1.0,0,High Energy Pop,
Joalin,0.766,0.776,0.555,101.033,0.152,0.075,0.001,0.182,0.575,0.381,2,Latin Groove,
Joan Sebastian,0.8,0.464,0.87,100.718,0.741,0.032,0.0,0.131,0.0,1.0,3,Asian Acoustic,74.0
Joan Thiele,0.731,0.668,0.679,118.971,0.143,0.039,0.0,0.194,0.0,0.0,0,High Energy Pop,52.1
Joanna,0.659,0.627,0.488,120.979,0.039,0.08,0.0,0.084,0.0,1.0,1,Pop Mainstream,
Joanna Dong,0.675,0.379,0.41,91.973,0.728,0.044,0.0,0.152,0.0,1.0,3,Asian Acoustic,
Joanna Kulig,0.349,0.226,0.133,81.46,0.869,0.031,0.0,0.154,0.0,1.0,3,Asian Acoustic,
Joaquin Guiller,0.642,0.529,0.674,151.059,0.761,0.037,0.0,0.119,0.0,1.0,3,Asian Acoustic,56.4
Joaquin Medina,0.799,0.541,0.602,128.84,0.116,0.04,0.0,0.111,0.834,0.0,2,Latin Groove,
Joaquín Da Rosa,0.754,0.643,0.433,134.773,0.289,0.121,0.0,0.107,0.0,0.0,2,Latin Groove,59.8
Job Kurian,0.522,0.434,0.692,155.527,0.821,0.178,0.0,0.126,0.0,0.0,3,Asian Acoustic,
Joe,0.725,0.487,0.599,136.086,0.26,0.037,0.0,0.431,0.0,0.0,4,Brazilian Beat,68.2
Joe Arroyo,0.674,0.74,0.841,127.663,0.542,0.04,0.0,0.173,0.0,0.375,0,High Energy Pop,41.0
Joe Jonas,0.532,0.834,0.304,143.007,0.013,0.05,0.0,0.082,0.0,1.0,1,Pop Mainstream,
Joe L,0.795,0.709,0.629,121.669,0.164,0.064,0.032,0.174,0.0,0.685,0,High Energy Pop,51.6
Joe Mesmar,0.619,0.865,0.132,123.973,0.065,0.052,0.406,0.173,0.0,1.0,2,Latin Groove,42.8
Joe Prod,0.802,0.242,0.587,121.305,0.279,0.441,0.0,0.284,0.0,1.0,4,Brazilian Beat,
Joe Rock,0.404,0.724,0.493,173.733,0.01,0.237,0.0,0.426,0.0,0.0,4,Brazilian Beat,
Joe Won Sun,0.278,0.599,0.441,145.747,0.675,0.041,0.0,0.676,0.0,1.0,4,Brazilian Beat,
Joeboy,0.677,0.704,0.518,111.8,0.484,0.137,0.002,0.147,0.593,0.502,2,Latin Groove,55.3
Joel Corry,0.643,0.833,0.215,139.948,0.188,0.101,0.0,0.339,0.0,1.0,4,Brazilian Beat,
Joel DELEÓN,0.504,0.717,0.419,120.034,0.157,0.078,0.001,0.198,0.0,1.0,1,Pop Mainstream,
Joel De La P,0.778,0.701,0.734,130.316,0.436,0.134,0.011,0.089,0.77,0.766,2,Latin Groove,
Joel Marques Cunha,0.615,0.488,0.255,95.994,0.215,0.033,0.0,0.41,0.0,0.0,4,Brazilian Beat,37.5
Joel The B,0.895,0.642,0.96,90.819,0.161,0.558,0.0,0.072,1.0,1.0,2,Latin Groove,
Joell Ortiz,0.711,0.547,0.061,160.016,0.002,0.545,0.0,0.105,1.0,1.0,2,Latin Groove,
Joey Calveiro,0.482,0.564,0.416,105.609,0.722,0.044,0.498,0.277,0.0,0.75,3,Asian Acoustic,
Joey Christ,0.883,0.619,0.518,154.106,0.278,0.272,0.025,0.106,0.0,1.0,0,High Energy Pop,
Joey Evans,0.805,0.782,0.856,153.969,0.146,0.273,0.0,0.299,1.0,0.0,4,Brazilian Beat,
Joey Fatts,0.722,0.568,0.609,152.305,0.167,0.31,0.0,0.081,1.0,0.0,2,Latin Groove,
Joey Moe,0.606,0.579,0.552,177.252,0.039,0.053,0.0,0.112,0.0,0.0,0,High Energy Pop,59.2
Joey Yung,0.477,0.307,0.24,136.058,0.872,0.036,0.0,0.11,0.0,1.0,3,Asian Acoustic,48.6
JoeyAK,0.78,0.595,0.601,92.999,0.169,0.32,0.0,0.202,1.0,0.0,2,Latin Groove,
Johann,0.834,0.739,0.965,149.892,0.399,0.364,0.0,0.097,1.0,1.0,0,High Energy Pop,33.2
Johanne Holmedahl,0.838,0.638,0.374,117.954,0.024,0.061,0.0,0.099,0.0,1.0,1,Pop Mainstream,53.8
John Carpenter,0.55,0.704,0.488,136.013,0.024,0.03,0.81,0.151,0.0,0.0,2,Latin Groove,
John Legend,0.494,0.546,0.588,144.992,0.566,0.057,0.0,0.112,0.0,1.0,3,Asian Acoustic,88.0
John Lennon,0.321,0.64,0.414,146.172,0.28,0.032,0.0,0.718,0.0,1.0,4,Brazilian Beat,
John Lundvik,0.409,0.766,0.114,157.892,0.013,0.071,0.0,0.204,0.0,1.0,1,Pop Mainstream,58.8
John Mayer,0.562,0.564,0.314,82.685,0.705,0.036,0.0,0.093,0.0,1.0,3,Asian Acoustic,
John Moreland,0.558,0.579,0.365,78.131,0.326,0.053,0.0,0.157,1.0,1.0,3,Asian Acoustic,
John Ryan,0.761,0.933,0.836,122.959,0.091,0.056,0.0,0.061,0.0,1.0,0,High Energy Pop,
John Scott Trotter & His Orchestra,0.286,0.175,0.224,117.747,0.761,0.036,0.22,0.356,0.0,1.0,3,Asian Acoustic,
John Theis,0.797,0.768,0.901,117.112,0.189,0.072,0.0,0.173,1.0,0.0,0,High Energy Pop,
John West,0.924,0.735,0.655,100.048,0.073,0.122,0.0,0.124,0.0,0.704,2,Latin Groove,
John Williams,0.418,0.106,0.8,46.718,0.994,0.045,0.029,0.179,0.0,0.0,3,Asian Acoustic,86.4
Johnny,0.752,0.854,0.264,101.275,0.081,0.073,0.0,0.322,1.0,0.0,2,Latin Groove,
Johnny Clegg & Juluka,0.584,0.8,0.91,89.721,0.018,0.096,0.0,0.138,0.0,1.0,0,High Energy Pop,
Johnny Drille,0.745,0.77,0.737,105.09,0.264,0.052,0.018,0.133,0.0,0.529,0,High Energy Pop,
Johnny Jey B,0.641,0.646,0.656,117.463,0.115,0.475,0.0,0.078,1.0,1.0,2,Latin Groove,
Johnny Madsen,0.732,0.69,0.962,143.11,0.078,0.038,0.0,0.275,0.0,1.0,0,High Energy Pop,43.3
Johnny Skinnvest,0.66,0.846,0.788,140.067,0.032,0.076,0.0,0.48,0.0,1.0,4,Brazilian Beat,
Johnny Ventura y su Combo,0.592,0.79,0.928,151.045,0.24,0.129,0.0,0.066,0.0,0.5,0,High Energy Pop,45.5
Johnnyboaih,0.832,0.649,0.544,170.0,0.081,0.363,0.0,0.185,0.0,0.0,0,High Energy Pop,
Johnossi,0.587,0.632,0.529,128.005,0.111,0.035,0.0,0.219,0.0,0.0,0,High Energy Pop,
Johny Machette,0.543,0.329,0.158,113.332,0.687,0.028,0.001,0.371,0.0,1.0,3,Asian Acoustic,
Johny Romano,0.571,0.745,0.465,104.9,0.236,0.222,0.0,0.19,0.846,1.0,2,Latin Groove,
Joint One,0.772,0.619,0.575,102.568,0.369,0.179,0.0,0.068,1.0,0.0,2,Latin Groove,
Jointjay,0.719,0.782,0.632,88.903,0.312,0.286,0.0,0.327,1.0,1.0,4,Brazilian Beat,
Joji,0.44,0.317,0.268,169.914,0.891,0.053,0.0,0.141,0.0,1.0,3,Asian Acoustic,75.0
Jok'air,0.797,0.609,0.127,113.126,0.035,0.067,0.0,0.085,1.0,0.904,1,Pop Mainstream,66.8
Joker,0.816,0.781,0.224,137.945,0.158,0.257,0.0,0.514,0.0,0.0,4,Brazilian Beat,
Joker Bra,0.546,0.679,0.525,92.656,0.481,0.539,0.0,0.473,1.0,1.0,4,Brazilian Beat,
Jokhay,0.73,0.512,0.64,90.979,0.653,0.173,0.0,0.134,0.0,0.0,3,Asian Acoustic,
Jokrates,0.769,0.738,0.821,142.001,0.029,0.212,0.0,0.34,0.0,0.0,4,Brazilian Beat,51.4
Jolagreen23,0.613,0.577,0.515,89.522,0.396,0.271,0.005,0.127,1.0,0.0,2,Latin Groove,
Jolin Tsai,0.336,0.404,0.235,136.289,0.831,0.037,0.0,0.118,0.0,1.0,3,Asian Acoustic,61.7
Jombriel,0.76,0.693,0.835,112.291,0.017,0.246,0.0,0.125,0.325,0.142,2,Latin Groove,66.8
Jon Batiste,0.512,0.183,0.136,118.679,0.958,0.038,0.226,0.102,0.0,0.0,3,Asian Acoustic,
Jon Fredo,0.744,0.598,0.5,87.521,0.198,0.276,0.0,0.238,0.0,0.3,2,Latin Groove,37.0
Jon Hopkins,0.283,0.222,0.091,130.786,0.859,0.034,0.334,0.274,0.0,0.6,3,Asian Acoustic,
Jon Ranes,0.483,0.379,0.271,129.813,0.44,0.03,0.005,0.115,0.0,0.0,3,Asian Acoustic,
Jon Vejlemand,0.654,0.585,0.641,98.018,0.203,0.251,0.0,0.068,1.0,0.0,2,Latin Groove,
Jon Z,0.878,0.775,0.612,124.053,0.123,0.084,0.0,0.174,1.0,1.0,0,High Energy Pop,
Jona Lewie,0.698,0.384,0.745,97.215,0.35,0.04,0.002,0.077,0.0,1.0,3,Asian Acoustic,75.5
Jonah Blacksmith,0.57,0.649,0.561,74.996,0.243,0.034,0.0,0.104,0.0,1.0,3,Asian Acoustic,
Jonah Wright,0.659,0.543,0.583,124.951,0.443,0.031,0.0,0.089,0.0,1.0,1,Pop Mainstream,45.0
Jonas Benyoub,0.529,0.582,0.402,104.228,0.495,0.098,0.0,0.141,0.011,0.638,3,Asian Acoustic,15.0
Jonas Blue,0.647,0.726,0.769,114.998,0.157,0.055,0.0,0.084,0.0,0.0,0,High Energy Pop,
Jonas Brothers,0.724,0.572,0.606,145.11,0.019,0.101,0.0,0.052,0.0,0.989,1,Pop Mainstream,84.5
Jonas Esticado,0.604,0.884,0.784,146.024,0.465,0.051,0.0,0.212,0.0,1.0,0,High Energy Pop,
Jonatan,0.776,0.627,0.433,112.541,0.395,0.197,0.0,0.254,0.004,0.44,2,Latin Groove,
Jonatan Brox,0.792,0.623,0.551,125.043,0.419,0.082,0.004,0.133,1.0,0.0,2,Latin Groove,
Jonathan Bailey,0.468,0.384,0.397,123.619,0.146,0.058,0.0,0.749,0.0,1.0,4,Brazilian Beat,
Jonathan Johansson,0.547,0.347,0.293,131.702,0.584,0.028,0.0,0.111,0.0,1.0,3,Asian Acoustic,
Jonathan Tan Teck Meng,0.278,0.721,0.355,148.052,0.001,0.036,0.001,0.461,0.0,1.0,4,Brazilian Beat,
Jones the Ikomboy,0.81,0.57,0.64,96.03,0.021,0.14,0.0,0.102,0.0,1.0,2,Latin Groove,35.0
Jonita Gandhi,0.805,0.747,0.482,108.869,0.411,0.074,0.0,0.164,0.0,0.472,2,Latin Groove,
Jonko2x,0.902,0.904,0.864,143.992,0.061,0.121,0.0,0.089,1.0,0.0,0,High Energy Pop,
Jonna Fraser,0.772,0.654,0.546,108.854,0.163,0.109,0.0,0.133,0.093,0.099,2,Latin Groove,67.3
Joost,0.716,0.93,0.584,155.749,0.134,0.156,0.002,0.241,0.297,0.203,0,High Energy Pop,79.7
Jopke van Dobbenburgh,0.787,0.705,0.831,123.105,0.25,0.051,0.0,0.143,0.795,0.0,0,High Energy Pop,
Jordan,0.631,0.921,0.898,175.25,0.27,0.287,0.0,0.335,0.045,0.0,4,Brazilian Beat,
Jordan Adetunji,0.645,0.634,0.352,160.017,0.158,0.034,0.0,0.091,0.0,0.0,0,High Energy Pop,84.3
Jordan Allani,0.801,0.886,0.296,112.037,0.001,0.049,0.852,0.028,0.0,1.0,2,Latin Groove,
Jordan Sandhu,0.607,0.521,0.332,89.883,0.776,0.053,0.0,0.093,0.0,0.0,3,Asian Acoustic,
Jordan Zhu,0.473,0.32,0.714,121.866,0.823,0.051,0.609,0.166,0.0,0.684,3,Asian Acoustic,40.1
Jordana of Earth,0.833,0.488,0.215,117.034,0.399,0.046,0.028,0.11,0.0,0.0,3,Asian Acoustic,45.0
Jore & Zpoppa,0.759,0.641,0.576,124.489,0.236,0.053,0.0,0.123,0.486,0.277,0,High Energy Pop,53.6
Jorge,0.468,0.394,0.335,121.696,0.908,0.037,0.0,0.13,0.0,1.0,3,Asian Acoustic,
Jorge & Mateus,0.689,0.778,0.692,122.312,0.37,0.07,0.0,0.413,0.0,0.628,4,Brazilian Beat,79.3
Jorge Acosta,0.542,0.796,0.786,82.072,0.33,0.052,0.0,0.13,0.0,0.977,1,Pop Mainstream,54.6
Jorge Yanez,0.565,0.601,0.765,96.035,0.734,0.028,0.0,0.288,0.0,1.0,3,Asian Acoustic,54.0
Jorja Smith,0.368,0.636,0.481,95.16,0.235,0.144,0.0,0.168,0.2,0.2,3,Asian Acoustic,62.2
Jorkan,0.753,0.767,0.65,94.354,0.238,0.117,0.0,0.342,0.78,0.22,4,Brazilian Beat,
Jorsshh,0.736,0.843,0.81,123.121,0.183,0.031,0.0,0.227,1.0,1.0,0,High Energy Pop,
Jory Boy,0.687,0.778,0.842,169.283,0.207,0.099,0.0,0.125,0.029,0.029,0,High Energy Pop,
Josas,0.752,0.909,0.513,99.993,0.325,0.101,0.0,0.11,0.0,0.0,2,Latin Groove,68.0
Jose Alejandro Quintana,0.844,0.837,0.921,131.971,0.198,0.078,0.0,0.048,0.0,1.0,0,High Energy Pop,
Jose Mari Chan,0.567,0.293,0.383,72.464,0.842,0.03,0.0,0.112,0.0,1.0,3,Asian Acoustic,66.0
Jose iglesia,0.796,0.864,0.593,98.944,0.034,0.062,0.0,0.145,0.0,0.0,0,High Energy Pop,
Josef,0.782,0.624,0.638,114.555,0.14,0.143,0.0,0.157,0.0,0.619,0,High Energy Pop,
Josef Vagner,0.819,0.712,0.971,116.677,0.506,0.034,0.0,0.063,0.0,1.0,0,High Energy Pop,
Josefine Götestam,0.474,0.051,0.287,97.025,0.975,0.044,0.026,0.117,0.0,1.0,3,Asian Acoustic,
Joseph Kamel,0.609,0.792,0.61,148.439,0.358,0.041,0.0,0.087,0.0,0.0,0,High Energy Pop,57.4
Joseph Ren,0.794,0.482,0.432,120.055,0.383,0.094,0.248,0.104,1.0,0.0,2,Latin Groove,
Josephine,0.576,0.555,0.465,173.799,0.177,0.064,0.0,0.152,0.0,0.0,0,High Energy Pop,57.5
Josephlee,0.805,0.675,0.514,120.984,0.263,0.102,0.0,0.175,1.0,0.0,2,Latin Groove,
Joseíto Martínez,0.715,0.839,0.9,107.068,0.342,0.047,0.0,0.104,0.0,1.0,0,High Energy Pop,
Josh Brar,0.625,0.513,0.537,74.985,0.67,0.057,0.0,0.384,0.0,1.0,4,Brazilian Beat,71.9
Josh Ross J-RO,0.688,0.426,0.309,100.007,0.561,0.026,0.0,0.102,0.0,1.0,3,Asian Acoustic,1.0
Josh Schwartz,0.669,0.843,0.702,147.08,0.169,0.027,0.0,0.195,0.0,1.0,0,High Energy Pop,
Joshua,0.693,0.736,0.547,93.227,0.202,0.07,0.0,0.408,0.013,0.013,4,Brazilian Beat,
Joshua Acker,0.807,0.761,0.202,133.02,0.064,0.047,0.517,0.114,0.0,0.0,2,Latin Groove,25.0
Joshua Robbie,0.872,0.814,0.505,128.1,0.305,0.155,0.014,0.093,0.109,0.0,2,Latin Groove,
JoshuaLife,0.75,0.723,0.409,105.02,0.196,0.096,0.003,0.104,0.0,1.0,1,Pop Mainstream,36.8
Joshy Tripp,0.637,0.683,0.411,123.71,0.168,0.194,0.0,0.564,0.615,0.615,4,Brazilian Beat,49.2
Josman,0.73,0.583,0.54,103.148,0.326,0.252,0.001,0.152,0.84,0.085,2,Latin Groove,66.9
Jossef,0.736,0.785,0.747,176.021,0.198,0.057,0.0,0.109,0.0,1.0,0,High Energy Pop,
Jossimar,0.898,0.679,0.863,93.997,0.227,0.129,0.0,0.103,1.0,0.0,2,Latin Groove,
Josua Natanael,0.63,0.816,0.238,126.03,0.014,0.041,0.001,0.11,0.0,1.0,1,Pop Mainstream,
Josuan,0.663,0.631,0.748,91.97,0.549,0.178,0.005,0.105,0.896,0.935,2,Latin Groove,
Josvani,0.805,0.568,0.284,140.005,0.149,0.155,0.0,0.106,1.0,0.0,2,Latin Groove,47.0
Josylvio,0.769,0.673,0.67,137.103,0.283,0.316,0.007,0.132,1.0,0.054,2,Latin Groove,24.0
Joszko Broda,0.482,0.411,0.234,84.134,0.748,0.028,0.0,0.105,0.0,1.0,3,Asian Acoustic,
José Afonso,0.641,0.533,0.441,97.92,0.787,0.175,0.0,0.255,0.0,0.0,3,Asian Acoustic,37.0
José Feliciano,0.513,0.827,0.964,148.806,0.51,0.04,0.0,0.325,0.0,1.0,4,Brazilian Beat,81.3
José José,0.319,0.637,0.145,149.748,0.079,0.036,0.0,0.139,0.0,1.0,3,Asian Acoustic,69.2
Jotadejuan,0.64,0.844,0.515,105.054,0.112,0.078,0.0,0.118,1.0,0.0,2,Latin Groove,
Jotavê,0.756,0.9,0.947,133.46,0.554,0.07,0.0,0.231,0.0,0.5,4,Brazilian Beat,
Jouma,0.834,0.541,0.329,100.077,0.071,0.249,0.0,0.109,0.0,1.0,2,Latin Groove,
Journey,0.505,0.754,0.51,119.204,0.132,0.037,0.0,0.204,0.0,1.0,1,Pop Mainstream,85.0
Jovani,0.783,0.752,0.717,127.408,0.123,0.041,0.011,0.093,0.002,0.236,0,High Energy Pop,
Jovanotti,0.497,0.415,0.332,143.425,0.856,0.05,0.0,0.095,0.0,1.0,3,Asian Acoustic,70.7
Jowell & Randy,0.84,0.728,0.449,104.365,0.356,0.185,0.002,0.119,0.946,0.189,2,Latin Groove,
Jozels,0.548,0.901,0.145,174.013,0.002,0.052,0.003,0.335,0.0,1.0,4,Brazilian Beat,
Jozzu RD,0.655,0.612,0.339,103.009,0.155,0.128,0.0,0.155,0.0,1.0,1,Pop Mainstream,
Jozzy,0.765,0.468,0.347,127.984,0.818,0.328,0.007,0.109,0.0,0.0,3,Asian Acoustic,
João Bosco & Vinicius,0.631,0.864,0.796,150.109,0.326,0.068,0.0,0.743,0.0,1.0,4,Brazilian Beat,
João Gomes,0.687,0.766,0.688,141.776,0.747,0.04,0.0,0.272,0.0,0.041,4,Brazilian Beat,
Joé Dwèt Filé,0.546,0.643,0.65,124.698,0.438,0.25,0.0,0.098,0.843,0.393,2,Latin Groove,75.4
Jplu$,0.927,0.699,0.528,102.024,0.081,0.207,0.0,0.105,1.0,0.0,2,Latin Groove,20.6
Jr Clark,0.898,0.692,0.807,104.055,0.073,0.334,0.0,0.302,1.0,0.5,4,Brazilian Beat,
Jr.,0.629,0.937,0.649,123.968,0.005,0.038,0.0,0.389,0.0,0.0,4,Brazilian Beat,
Jthekidd,0.926,0.32,0.381,119.934,0.23,0.069,0.0,0.102,1.0,0.0,2,Latin Groove,
Jthyago,0.875,0.717,0.949,100.02,0.239,0.14,0.0,0.102,0.0,0.833,0,High Energy Pop,
Juan Caoile,0.828,0.464,0.848,124.932,0.194,0.05,0.0,0.081,1.0,0.0,2,Latin Groove,
Juan Casanova,0.652,0.577,0.662,120.037,0.026,0.033,0.0,0.076,0.0,1.0,1,Pop Mainstream,
Juan Duque,0.762,0.57,0.734,100.015,0.674,0.071,0.0,0.315,0.0,1.0,4,Brazilian Beat,
Juan Freer,0.758,0.834,0.781,129.88,0.351,0.039,0.0,0.111,0.0,0.0,0,High Energy Pop,
Juan Luis Guerra 4.40,0.859,0.65,0.92,130.859,0.546,0.033,0.0,0.088,0.0,0.278,0,High Energy Pop,74.5
Juan Palau,0.732,0.84,0.534,104.021,0.219,0.203,0.0,0.186,0.0,0.0,2,Latin Groove,
Juan Reza,0.864,0.92,0.969,105.003,0.052,0.031,0.0,0.19,0.0,1.0,0,High Energy Pop,71.3
Juancho Rois,0.595,0.89,0.903,135.219,0.17,0.218,0.0,0.107,0.0,1.0,0,High Energy Pop,
Juanes,0.691,0.787,0.844,133.628,0.168,0.03,0.0,0.173,0.0,0.968,0,High Energy Pop,77.5
Juanfran,0.714,0.796,0.587,114.151,0.269,0.156,0.0,0.164,0.145,0.145,2,Latin Groove,45.5
Juanjo Bona,0.727,0.731,0.562,123.017,0.398,0.041,0.0,0.185,0.0,0.5,0,High Energy Pop,59.3
Juanjo Morgade,0.751,0.747,0.872,112.974,0.275,0.055,0.0,0.068,0.0,0.0,0,High Energy Pop,
Juanka,0.812,0.68,0.617,109.672,0.083,0.094,0.0,0.086,1.0,0.0,2,Latin Groove,
Juanpa Salazar,0.834,0.676,0.935,131.15,0.66,0.032,0.004,0.107,0.0,1.0,0,High Energy Pop,
Juanse Navarro,0.671,0.845,0.698,167.981,0.402,0.297,0.0,0.313,0.0,0.0,4,Brazilian Beat,58.5
Jubin Nautiyal,0.698,0.657,0.537,90.331,0.573,0.041,0.0,0.118,0.0,1.0,3,Asian Acoustic,67.0
Jude David,0.52,0.933,0.489,157.971,0.085,0.094,0.0,0.113,0.0,1.0,0,High Energy Pop,
Judeline,0.559,0.611,0.383,129.87,0.299,0.189,0.002,0.112,0.923,0.923,1,Pop Mainstream,
Judika,0.467,0.473,0.316,129.688,0.747,0.029,0.0,0.127,0.0,0.897,3,Asian Acoustic,70.7
Judit,0.686,0.409,0.639,122.361,0.728,0.036,0.0,0.112,0.0,0.891,3,Asian Acoustic,62.7
Judy Santos,0.804,0.56,0.768,133.682,0.416,0.04,0.0,0.061,0.0,0.0,0,High Energy Pop,
Juepak,0.788,0.865,0.816,137.993,0.157,0.042,0.0,0.206,0.0,1.0,0,High Energy Pop,
Juf Roos,0.937,0.475,0.449,114.06,0.161,0.053,0.0,0.143,0.0,1.0,1,Pop Mainstream,50.0
Juha Tapio,0.768,0.873,0.879,131.936,0.025,0.038,0.0,0.13,0.0,0.0,0,High Energy Pop,15.0
Juhn,0.772,0.547,0.096,130.099,0.098,0.054,0.0,0.107,1.0,0.0,2,Latin Groove,
Juice,0.671,0.562,0.288,89.035,0.163,0.023,0.0,0.109,0.0,1.0,3,Asian Acoustic,
